"","time_hours","time_of_day","period","period_detail","period_circadian"
"1",-24,21,"pre","pre1","night"
"2",-21,0,"pre","pre1","night"
"3",-18,3,"pre","pre1","night"
"4",-12,9,"pre","pre2","day"
"5",-9,12,"pre","pre2","day"
"6",-6,15,"pre","pre2","day"
"7",0,21,"post","post","night"
"8",3,0,"post","post","night"
"9",6,3,"post","post","night"
