"REP_treat","time_treat","status","antID","tagIDdecimal","identifStart","identifEnd","AntTask1perc","prop_time_outside","box","colony_size","treatment","Comment","Exposed","IsAlive","IsQueen","surviv_time","tag_reoriented","N_exposed","exp_start","exp_end","pre_start","pre_end","middle_start","middle_end","post_start","post_end"
"DF_alleline_c05","DF","Day",17,379,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",18,466,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",19,479,NA,NA,"forager",0.172,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",20,491,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",21,509,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",22,521,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",23,564,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",24,578,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",25,598,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",26,606,NA,NA,"forager",0.04,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
